hidden_layer_sizes;activation;solver;learning_rate;iteration;MAPE;Rï¿½
"(50,)";tanh;sgd;adaptive;2;0,27067397725885023;-0,7286808007163295
"(50,)";tanh;sgd;adaptive;3;0,27067397725885023;-0,7286808007163295
"(50,)";tanh;lbfgs;constant;1;0,029435565834306062;0,9640976575726405
"(50,)";tanh;lbfgs;constant;2;0,029435565834306062;0,9640976575726405
"(50,)";tanh;lbfgs;constant;3;0,029435565834306062;0,9640976575726405
"(50,)";tanh;lbfgs;invscaling;1;0,029435565834306062;0,9640976575726405
"(50,)";tanh;lbfgs;invscaling;2;0,029435565834306062;0,9640976575726405
"(50,)";tanh;lbfgs;invscaling;3;0,029435565834306062;0,9640976575726405
"(50,)";tanh;lbfgs;adaptive;1;0,029435565834306062;0,9640976575726405
"(50,)";tanh;lbfgs;adaptive;2;0,029435565834306062;0,9640976575726405
"(50,)";tanh;lbfgs;adaptive;3;0,029435565834306062;0,9640976575726405
"(50,)";logistic;adam;constant;1;0,11259291186107581;0,6310599785260562
"(50,)";logistic;adam;constant;2;0,11259291186107581;0,6310599785260562
"(50,)";logistic;adam;constant;3;0,11259291186107581;0,6310599785260562
"(50,)";logistic;adam;invscaling;1;0,11259291186107581;0,6310599785260562
"(50,)";logistic;adam;invscaling;2;0,11259291186107581;0,6310599785260562
"(50,)";logistic;adam;invscaling;3;0,11259291186107581;0,6310599785260562
"(50,)";logistic;adam;adaptive;1;0,11259291186107581;0,6310599785260562
"(50,)";logistic;adam;adaptive;2;0,11259291186107581;0,6310599785260562
"(50,)";logistic;adam;adaptive;3;0,11259291186107581;0,6310599785260562
"(50,)";logistic;sgd;constant;1;0,12657001835100126;0,5377594926139072
"(50,)";logistic;sgd;constant;2;0,12657001835100126;0,5377594926139072
"(50,)";logistic;sgd;constant;3;0,12657001835100126;0,5377594926139072
"(50,)";logistic;sgd;invscaling;1;1,0003389810171155;-12,397487331497743
"(50,)";logistic;sgd;invscaling;2;1,0003389810171155;-12,397487331497743
"(50,)";logistic;sgd;invscaling;3;1,0003389810171155;-12,397487331497743
"(50,)";logistic;sgd;adaptive;1;0,12411954025673053;0,5511491231097975
"(50,)";logistic;sgd;adaptive;2;0,12411954025673053;0,5511491231097975
"(50,)";logistic;sgd;adaptive;3;0,12411954025673053;0,5511491231097975
"(50,)";logistic;lbfgs;constant;1;0,07360306500782617;0,8494159739361188
"(50,)";logistic;lbfgs;constant;2;0,07360306500782617;0,8494159739361188
"(50,)";logistic;lbfgs;constant;3;0,07360306500782617;0,8494159739361188
"(50,)";logistic;lbfgs;invscaling;1;0,07360306500782617;0,8494159739361188
"(50,)";logistic;lbfgs;invscaling;2;0,07360306500782617;0,8494159739361188
"(50,)";logistic;lbfgs;invscaling;3;0,07360306500782617;0,8494159739361188
"(50,)";logistic;lbfgs;adaptive;1;0,07360306500782617;0,8494159739361188
"(50,)";logistic;lbfgs;adaptive;2;0,07360306500782617;0,8494159739361188
"(50,)";logistic;lbfgs;adaptive;3;0,07360306500782617;0,8494159739361188
"(100,)";relu;adam;constant;1;0,029369476416824303;0,9872160837057341
"(100,)";relu;adam;constant;2;0,029369476416824303;0,9872160837057341
"(100,)";relu;adam;constant;3;0,029369476416824303;0,9872160837057341
"(100,)";relu;adam;invscaling;1;0,029369476416824303;0,9872160837057341
"(100,)";relu;adam;invscaling;2;0,029369476416824303;0,9872160837057341
"(100,)";relu;adam;invscaling;3;0,029369476416824303;0,9872160837057341
"(100,)";relu;adam;adaptive;1;0,029369476416824303;0,9872160837057341
"(100,)";relu;adam;adaptive;2;0,029369476416824303;0,9872160837057341
"(100,)";relu;adam;adaptive;3;0,029369476416824303;0,9872160837057341
"(100,)";relu;sgd;constant;1;0,07984310129277838;0,9047958741559193
"(100,)";relu;sgd;constant;2;0,07984310129277838;0,9047958741559193
"(100,)";relu;sgd;constant;3;0,07984310129277838;0,9047958741559193
"(100,)";relu;sgd;invscaling;1;0,5649403962472367;-3,874315728821112
"(100,)";relu;sgd;invscaling;2;0,5649403962472367;-3,874315728821112
"(100,)";relu;sgd;invscaling;3;0,5649403962472367;-3,874315728821112
"(100,)";relu;sgd;adaptive;1;0,07849186514512801;0,9082297779174522
"(100,)";relu;sgd;adaptive;2;0,07849186514512801;0,9082297779174522
"(100,)";relu;sgd;adaptive;3;0,07849186514512801;0,9082297779174522
"(100,)";relu;lbfgs;constant;1;0,009135079942945459;0,9977625618750577
"(100,)";relu;lbfgs;constant;2;0,009135079942945459;0,9977625618750577
"(100,)";relu;lbfgs;constant;3;0,009135079942945459;0,9977625618750577
"(100,)";relu;lbfgs;invscaling;1;0,009135079942945459;0,9977625618750577
"(100,)";relu;lbfgs;invscaling;2;0,009135079942945459;0,9977625618750577
"(100,)";relu;lbfgs;invscaling;3;0,009135079942945459;0,9977625618750577
"(100,)";relu;lbfgs;adaptive;1;0,009135079942945459;0,9977625618750577
"(100,)";relu;lbfgs;adaptive;2;0,009135079942945459;0,9977625618750577
"(100,)";relu;lbfgs;adaptive;3;0,009135079942945459;0,9977625618750577
"(100,)";tanh;adam;constant;1;0,13309935780502344;0,5499412282108498
"(100,)";tanh;adam;constant;2;0,13309935780502344;0,5499412282108498
"(100,)";tanh;adam;constant;3;0,13309935780502344;0,5499412282108498
"(100,)";tanh;adam;invscaling;1;0,13309935780502344;0,5499412282108498
"(100,)";tanh;adam;invscaling;2;0,13309935780502344;0,5499412282108498
"(100,)";tanh;adam;invscaling;3;0,13309935780502344;0,5499412282108498
"(100,)";tanh;adam;adaptive;1;0,13309935780502344;0,5499412282108498
"(100,)";tanh;adam;adaptive;2;0,13309935780502344;0,5499412282108498
"(100,)";tanh;adam;adaptive;3;0,13309935780502344;0,5499412282108498
"(100,)";tanh;sgd;constant;1;0,14527750219463367;0,38981072263842664
"(100,)";tanh;sgd;constant;2;0,14527750219463367;0,38981072263842664
"(100,)";tanh;sgd;constant;3;0,14527750219463367;0,38981072263842664
"(100,)";tanh;sgd;invscaling;1;0,2691232570196644;-0,7557484491693702
"(100,)";tanh;sgd;invscaling;2;0,2691232570196644;-0,7557484491693702
"(100,)";tanh;sgd;invscaling;3;0,2691232570196644;-0,7557484491693702
"(100,)";tanh;sgd;adaptive;1;0,14468676304998934;0,3999767260721625
"(100,)";tanh;sgd;adaptive;2;0,14468676304998934;0,3999767260721625
"(100,)";tanh;sgd;adaptive;3;0,14468676304998934;0,3999767260721625
"(100,)";tanh;lbfgs;constant;1;0,030055863548633745;0,9677576980120381
"(100,)";tanh;lbfgs;constant;2;0,030055863548633745;0,9677576980120381
"(100,)";tanh;lbfgs;constant;3;0,030055863548633745;0,9677576980120381
"(100,)";tanh;lbfgs;invscaling;1;0,030055863548633745;0,9677576980120381
"(100,)";tanh;lbfgs;invscaling;2;0,030055863548633745;0,9677576980120381
"(100,)";tanh;lbfgs;invscaling;3;0,030055863548633745;0,9677576980120381
"(100,)";tanh;lbfgs;adaptive;1;0,030055863548633745;0,9677576980120381
"(100,)";tanh;lbfgs;adaptive;2;0,030055863548633745;0,9677576980120381
"(100,)";tanh;lbfgs;adaptive;3;0,030055863548633745;0,9677576980120381
"(100,)";logistic;adam;constant;1;0,09169767079560638;0,7659840544256559
"(100,)";logistic;adam;constant;2;0,09169767079560638;0,7659840544256559
"(100,)";logistic;adam;constant;3;0,09169767079560638;0,7659840544256559
"(100,)";logistic;adam;invscaling;1;0,09169767079560638;0,7659840544256559
"(100,)";logistic;adam;invscaling;2;0,09169767079560638;0,7659840544256559
"(100,)";logistic;adam;invscaling;3;0,09169767079560638;0,7659840544256559
"(100,)";logistic;adam;adaptive;1;0,09169767079560638;0,7659840544256559
"(100,)";logistic;adam;adaptive;2;0,09169767079560638;0,7659840544256559
"(100,)";logistic;adam;adaptive;3;0,09169767079560638;0,7659840544256559
"(100,)";logistic;sgd;constant;1;0,09618896007760874;0,7398071662676466
"(100,)";logistic;sgd;constant;2;0,09618896007760874;0,7398071662676466
"(100,)";logistic;sgd;constant;3;0,09618896007760874;0,7398071662676466
"(100,)";logistic;sgd;invscaling;1;1,0506731382131291;-13,550425334042663
"(100,)";logistic;sgd;invscaling;2;1,0506731382131291;-13,550425334042663
"(100,)";logistic;sgd;invscaling;3;1,0506731382131291;-13,550425334042663
"(100,)";logistic;sgd;adaptive;1;0,09460029457515458;0,7480061080399543
"(100,)";logistic;sgd;adaptive;2;0,09460029457515458;0,7480061080399543
"(100,)";logistic;sgd;adaptive;3;0,09460029457515458;0,7480061080399543
"(100,)";logistic;lbfgs;constant;1;0,07074158855406543;0,8616210980988692
"(100,)";logistic;lbfgs;constant;2;0,07074158855406543;0,8616210980988692
"(100,)";logistic;lbfgs;constant;3;0,07074158855406543;0,8616210980988692
"(100,)";logistic;lbfgs;invscaling;1;0,07074158855406543;0,8616210980988692
"(100,)";logistic;lbfgs;invscaling;2;0,07074158855406543;0,8616210980988692
"(100,)";logistic;lbfgs;invscaling;3;0,07074158855406543;0,8616210980988692
"(100,)";logistic;lbfgs;adaptive;1;0,07074158855406543;0,8616210980988692
"(100,)";logistic;lbfgs;adaptive;2;0,07074158855406543;0,8616210980988692
"(100,)";logistic;lbfgs;adaptive;3;0,07074158855406543;0,8616210980988692
"(50, 50)";relu;adam;constant;1;0,027578510906754315;0,9806912812831194
"(50, 50)";relu;adam;constant;2;0,027578510906754315;0,9806912812831194
"(50, 50)";relu;adam;constant;3;0,027578510906754315;0,9806912812831194
"(50, 50)";relu;adam;invscaling;1;0,027578510906754315;0,9806912812831194
"(50, 50)";relu;adam;invscaling;2;0,027578510906754315;0,9806912812831194
"(50, 50)";relu;adam;invscaling;3;0,027578510906754315;0,9806912812831194
"(50, 50)";relu;adam;adaptive;1;0,027578510906754315;0,9806912812831194
"(50, 50)";relu;adam;adaptive;2;0,027578510906754315;0,9806912812831194
"(50, 50)";relu;adam;adaptive;3;0,027578510906754315;0,9806912812831194
"(50, 50)";relu;sgd;constant;1;0,09152020177286671;0,7901238957231979
"(50, 50)";relu;sgd;constant;2;0,09152020177286671;0,7901238957231979
"(50, 50)";relu;sgd;constant;3;0,09152020177286671;0,7901238957231979
"(50, 50)";relu;sgd;invscaling;1;0,5979740775282651;-4,237622113588292
"(50, 50)";relu;sgd;invscaling;2;0,5979740775282651;-4,237622113588292
"(50, 50)";relu;sgd;invscaling;3;0,5979740775282651;-4,237622113588292
"(50, 50)";relu;sgd;adaptive;1;0,08967118782504466;0,7989731754282979
"(50, 50)";relu;sgd;adaptive;2;0,08967118782504466;0,7989731754282979
"(50, 50)";relu;sgd;adaptive;3;0,08967118782504466;0,7989731754282979
"(50, 50)";relu;lbfgs;constant;1;0,0051196555716647805;0,9994490682350624
"(50, 50)";relu;lbfgs;constant;2;0,0051196555716647805;0,9994490682350624
"(50, 50)";relu;lbfgs;constant;3;0,0051196555716647805;0,9994490682350624
"(50, 50)";relu;lbfgs;invscaling;1;0,0051196555716647805;0,9994490682350624
"(50, 50)";relu;lbfgs;invscaling;2;0,0051196555716647805;0,9994490682350624
"(50, 50)";relu;lbfgs;invscaling;3;0,0051196555716647805;0,9994490682350624
"(50, 50)";relu;lbfgs;adaptive;1;0,0051196555716647805;0,9994490682350624
"(50, 50)";relu;lbfgs;adaptive;2;0,0051196555716647805;0,9994490682350624
"(50, 50)";relu;lbfgs;adaptive;3;0,0051196555716647805;0,9994490682350624
"(50, 50)";tanh;adam;constant;1;0,17817337148107257;0,23624049959583093
"(50, 50)";tanh;adam;constant;2;0,17817337148107257;0,23624049959583093
"(50, 50)";tanh;adam;constant;3;0,17817337148107257;0,23624049959583093
"(50, 50)";tanh;adam;invscaling;1;0,17817337148107257;0,23624049959583093
"(50, 50)";tanh;adam;invscaling;2;0,17817337148107257;0,23624049959583093
"(50, 50)";tanh;adam;invscaling;3;0,17817337148107257;0,23624049959583093
"(50, 50)";tanh;adam;adaptive;1;0,17817337148107257;0,23624049959583093
"(50, 50)";tanh;adam;adaptive;2;0,17817337148107257;0,23624049959583093
"(50, 50)";tanh;adam;adaptive;3;0,17817337148107257;0,23624049959583093
"(50, 50)";tanh;sgd;constant;1;0,18582459578635988;0,05801563361124562
"(50, 50)";tanh;sgd;constant;2;0,18582459578635988;0,05801563361124562
"(50, 50)";tanh;sgd;constant;3;0,18582459578635988;0,05801563361124562
"(50, 50)";tanh;sgd;invscaling;1;0,26560536704021337;-0,6685312727523456
"(50, 50)";tanh;sgd;invscaling;2;0,26560536704021337;-0,6685312727523456
"(50, 50)";tanh;sgd;invscaling;3;0,26560536704021337;-0,6685312727523456
"(50, 50)";tanh;sgd;adaptive;1;0,18521007132616182;0,06608860403390004
"(50, 50)";tanh;sgd;adaptive;2;0,18521007132616182;0,06608860403390004
"(50, 50)";tanh;sgd;adaptive;3;0,18521007132616182;0,06608860403390004
"(50, 50)";tanh;lbfgs;constant;1;0,045769319896635005;0,9268030611301179
"(50, 50)";tanh;lbfgs;constant;2;0,045769319896635005;0,9268030611301179
"(50, 50)";tanh;lbfgs;constant;3;0,045769319896635005;0,9268030611301179
"(50, 50)";tanh;lbfgs;invscaling;1;0,045769319896635005;0,9268030611301179
"(50, 50)";tanh;lbfgs;invscaling;2;0,045769319896635005;0,9268030611301179
"(50, 50)";tanh;lbfgs;invscaling;3;0,045769319896635005;0,9268030611301179
"(50, 50)";tanh;lbfgs;adaptive;1;0,045769319896635005;0,9268030611301179
"(50, 50)";tanh;lbfgs;adaptive;2;0,045769319896635005;0,9268030611301179
"(50, 50)";tanh;lbfgs;adaptive;3;0,045769319896635005;0,9268030611301179
"(50, 50)";logistic;adam;constant;1;0,14857217272264384;0,33651354201613015
"(50, 50)";logistic;adam;constant;2;0,14857217272264384;0,33651354201613015
"(50, 50)";logistic;adam;constant;3;0,14857217272264384;0,33651354201613015
"(50, 50)";logistic;adam;invscaling;1;0,14857217272264384;0,33651354201613015
"(50, 50)";logistic;adam;invscaling;2;0,14857217272264384;0,33651354201613015
"(50, 50)";logistic;adam;invscaling;3;0,14857217272264384;0,33651354201613015
"(50, 50)";logistic;adam;adaptive;1;0,14857217272264384;0,33651354201613015
"(50, 50)";logistic;adam;adaptive;2;0,14857217272264384;0,33651354201613015
"(50, 50)";logistic;adam;adaptive;3;0,14857217272264384;0,33651354201613015
"(50, 50)";logistic;sgd;constant;1;0,18723087130875157;0,041681797912934915
"(50, 50)";logistic;sgd;constant;2;0,18723087130875157;0,041681797912934915
"(50, 50)";logistic;sgd;constant;3;0,18723087130875157;0,041681797912934915
"(50, 50)";logistic;sgd;invscaling;1;0,9926676193047603;-12,20242602413055
"(50, 50)";logistic;sgd;invscaling;2;0,9926676193047603;-12,20242602413055
"(50, 50)";logistic;sgd;invscaling;3;0,9926676193047603;-12,20242602413055
"(50, 50)";logistic;sgd;adaptive;1;0,18435926253686255;0,060432493198061654
"(50, 50)";logistic;sgd;adaptive;2;0,18435926253686255;0,060432493198061654
"(50, 50)";logistic;sgd;adaptive;3;0,18435926253686255;0,060432493198061654
"(50, 50)";logistic;lbfgs;constant;1;0,06711207702559874;0,8671619918228065
"(50, 50)";logistic;lbfgs;constant;2;0,06711207702559874;0,8671619918228065
"(50, 50)";logistic;lbfgs;constant;3;0,06711207702559874;0,8671619918228065
"(50, 50)";logistic;lbfgs;invscaling;1;0,06711207702559874;0,8671619918228065
"(50, 50)";logistic;lbfgs;invscaling;2;0,06711207702559874;0,8671619918228065
"(50, 50)";logistic;lbfgs;invscaling;3;0,06711207702559874;0,8671619918228065
"(50, 50)";logistic;lbfgs;adaptive;1;0,06711207702559874;0,8671619918228065
"(50, 50)";logistic;lbfgs;adaptive;2;0,06711207702559874;0,8671619918228065
"(50, 50)";logistic;lbfgs;adaptive;3;0,06711207702559874;0,8671619918228065
